age,education,occupation,gender,hours-per-week,income
25,11th,Machine-op-inspct,Male,40,<=50K
38,HS-grad,Farming-fishing,Male,50,<=50K
28,Assoc-acdm,Protective-serv,Male,40,>50K
44,Some-college,Machine-op-inspct,Male,40,>50K
18,Some-college,?,Female,30,<=50K
34,10th,Other-service,Male,30,<=50K
29,HS-grad,?,Male,40,<=50K
63,Prof-school,Prof-specialty,Male,32,>50K
24,Some-college,Other-service,Female,40,<=50K
55,7th-8th,Craft-repair,Male,10,<=50K
65,HS-grad,Machine-op-inspct,Male,40,>50K
36,Bachelors,Adm-clerical,Male,40,<=50K
26,HS-grad,Adm-clerical,Female,39,<=50K
58,HS-grad,?,Male,35,<=50K
48,HS-grad,Machine-op-inspct,Male,48,>50K
43,Masters,Exec-managerial,Male,50,>50K
20,Some-college,Other-service,Male,25,<=50K
43,HS-grad,Adm-clerical,Female,30,<=50K
37,HS-grad,Machine-op-inspct,Female,20,<=50K
40,Doctorate,Prof-specialty,Male,45,>50K
34,Bachelors,Tech-support,Male,47,>50K
34,Some-college,Other-service,Female,35,<=50K
72,7th-8th,?,Female,6,<=50K
25,Bachelors,Prof-specialty,Male,43,<=50K
25,Bachelors,Prof-specialty,Male,40,<=50K
45,HS-grad,Craft-repair,Male,90,>50K
22,HS-grad,Adm-clerical,Male,20,<=50K
23,HS-grad,Machine-op-inspct,Male,54,<=50K
54,HS-grad,Craft-repair,Male,35,<=50K
32,Some-college,Prof-specialty,Male,60,<=50K
46,Some-college,Exec-managerial,Male,38,>50K
56,11th,Other-service,Female,50,<=50K
24,Bachelors,Sales,Male,50,<=50K
23,Some-college,Protective-serv,Male,40,<=50K
26,HS-grad,Exec-managerial,Female,40,<=50K
65,HS-grad,?,Male,40,<=50K
36,Bachelors,Prof-specialty,Male,40,>50K
22,5th-6th,Priv-house-serv,Male,50,<=50K
17,10th,Machine-op-inspct,Male,40,<=50K
20,HS-grad,Craft-repair,Male,40,<=50K
65,Masters,Prof-specialty,Male,50,>50K
44,Assoc-voc,Sales,Male,45,>50K
36,HS-grad,Farming-fishing,Male,40,<=50K
29,11th,Other-service,Male,40,<=50K
20,Some-college,Farming-fishing,Male,32,<=50K
28,Assoc-voc,Prof-specialty,Female,36,>50K
39,7th-8th,Craft-repair,Male,40,<=50K
54,Some-college,Transport-moving,Male,50,<=50K
52,11th,Priv-house-serv,Female,18,<=50K
56,HS-grad,Exec-managerial,Female,50,<=50K
18,Some-college,Other-service,Male,20,<=50K
39,HS-grad,Handlers-cleaners,Male,40,<=50K
21,Some-college,Other-service,Female,24,<=50K
22,HS-grad,Other-service,Male,60,>50K
38,9th,Exec-managerial,Male,54,<=50K
21,Some-college,Adm-clerical,Female,40,<=50K
63,HS-grad,Craft-repair,Male,40,<=50K
34,Bachelors,Exec-managerial,Male,50,>50K
42,HS-grad,Exec-managerial,Male,50,>50K
33,HS-grad,Handlers-cleaners,Male,40,<=50K
30,Bachelors,Exec-managerial,Female,50,<=50K
39,Some-college,Sales,Male,40,<=50K
26,Masters,Exec-managerial,Female,40,<=50K
33,HS-grad,Machine-op-inspct,Female,40,<=50K
47,HS-grad,Adm-clerical,Female,40,<=50K
41,Bachelors,Other-service,Female,40,<=50K
41,Assoc-acdm,Craft-repair,Male,60,>50K
19,Some-college,Other-service,Male,20,<=50K
46,HS-grad,Transport-moving,Male,40,<=50K
43,HS-grad,Sales,Male,48,<=50K
55,Some-college,Exec-managerial,Male,45,>50K
46,Assoc-voc,Tech-support,Male,40,<=50K
30,HS-grad,Machine-op-inspct,Male,40,<=50K
21,Some-college,Handlers-cleaners,Female,40,<=50K
46,Some-college,Craft-repair,Male,40,<=50K
17,10th,?,Male,40,<=50K
41,HS-grad,Machine-op-inspct,Male,50,<=50K
69,HS-grad,Sales,Male,30,<=50K
50,HS-grad,Transport-moving,Male,40,<=50K
20,Some-college,Adm-clerical,Female,40,<=50K
45,Some-college,Machine-op-inspct,Male,50,<=50K
23,Bachelors,Exec-managerial,Male,40,<=50K
24,Some-college,Other-service,Male,40,<=50K
44,HS-grad,Craft-repair,Male,50,>50K
31,Some-college,Craft-repair,Male,50,<=50K
43,HS-grad,Machine-op-inspct,Female,44,<=50K
20,11th,Other-service,Female,10,<=50K
55,HS-grad,Sales,Male,56,>50K
24,Some-college,Armed-Forces,Male,40,<=50K
41,Masters,?,Female,10,>50K
59,Bachelors,Exec-managerial,Female,25,<=50K
49,7th-8th,Other-service,Male,20,<=50K
33,Masters,Prof-specialty,Female,10,>50K
59,Bachelors,Adm-clerical,Male,40,<=50K
34,Masters,Other-service,Male,40,<=50K
20,HS-grad,Handlers-cleaners,Male,40,<=50K
25,Bachelors,Exec-managerial,Female,40,<=50K
